seq_id,ct10_id,geoid,logrecno,acs_year,pop16,pop16_me,lf,lf_me,clf,clf_me,emp,emp_me,unemp,unemp_me,aflf,aflf_me,nlf,nlf_me,lf_p,lf_mep,clf_p,clf_mep,emp_p,emp_mep,unemp_p,unemp_mep,aflf_p,aflf_mep,nlf_p,nlf_mep
7405,25001011100,14000US25001011100,922,2012-16,3941,289,2436,374,2436,374,2331,334,105,86,0,12,1505,211,61.81,8.34,100,15.35,95.69,20.1,4.31,3.47,0,0.49,38.19,4.56
7406,25001011200,14000US25001011200,923,2012-16,3106,253,1601,192,1601,192,1514,204,87,66,0,12,1505,184,51.55,4.54,100,11.99,94.57,5.81,5.43,4.07,0,0.75,48.45,4.42
7407,25001011300,14000US25001011300,924,2012-16,2573,336,1212,261,1212,261,1111,261,101,72,0,12,1361,192,47.1,8.07,100,21.53,91.67,8.61,8.33,5.66,0,0.99,52.9,2.82
7408,25001011400,14000US25001011400,925,2012-16,2864,257,1247,184,1247,184,1172,186,75,52,0,12,1617,253,43.54,5.1,100,14.76,93.99,5.49,6.01,4.07,0,0.96,56.46,7.24
7409,25001011500,14000US25001011500,926,2012-16,3443,249,2030,237,2023,236,1820,226,203,87,7,12,1413,189,58.96,5.4,99.66,16.45,89.97,3.83,10.03,4.14,0.34,0.59,41.04,4.62
7410,25001011600,14000US25001011600,927,2012-16,2081,262,1324,234,1324,234,1233,235,91,57,0,12,757,172,63.62,7.89,100,17.67,93.13,6.64,6.87,4.13,0,0.91,36.38,6.88
7411,25001011700,14000US25001011700,928,2012-16,1727,228,996,202,996,202,918,179,78,54,0,12,731,122,57.67,8.88,100,20.28,92.17,25.93,7.83,5.18,0,1.2,42.33,4.32
7412,25001011801,14000US25001011801,929,2012-16,2302,198,938,189,938,189,901,186,37,32,0,12,1364,170,40.75,7.42,100,20.15,96.06,4.31,3.94,3.32,0,1.28,59.25,5.34
7413,25001011802,14000US25001011802,930,2012-16,3389,343,1865,319,1865,319,1790,322,75,48,0,12,1524,209,55.03,7.59,100,17.1,95.98,5.35,4.02,2.48,0,0.64,44.97,4.16
7414,25001012001,14000US25001012001,931,2012-16,4958,334,2984,302,2984,302,2757,331,227,120,0,17,1974,269,60.19,4.55,100,10.12,92.39,5.97,7.61,3.95,0,0.57,39.81,4.72
7415,25001012002,14000US25001012002,932,2012-16,2369,276,1447,233,1447,233,1263,196,184,126,0,12,922,203,61.08,6.79,100,16.1,87.28,19.52,12.72,8.46,0,0.83,38.92,7.27
7416,25001012101,14000US25001012101,933,2012-16,4762,473,3318,493,3318,493,3158,511,160,109,0,17,1444,240,69.68,7.7,100,14.86,95.18,6.1,4.82,3.21,0,0.51,30.32,4.04
7417,25001012102,14000US25001012102,934,2012-16,2631,251,1582,187,1582,187,1430,209,152,79,0,12,1049,181,60.13,4.2,100,11.82,90.39,7.77,9.61,4.86,0,0.76,39.87,5.73
7418,25001012200,14000US25001012200,935,2012-16,4210,355,2363,366,2363,366,2274,360,89,64,0,17,1847,302,56.13,7.29,100,15.49,96.23,3.15,3.77,2.64,0,0.72,43.87,6.15
7419,25001012502,14000US25001012502,936,2012-16,3033,360,2043,336,2043,336,1930,311,113,109,0,12,990,215,67.36,7.67,100,16.45,94.47,21.75,5.53,5.26,0,0.59,32.64,5.94
7420,25001012601,14000US25001012601,937,2012-16,3233,365,2212,353,2212,353,2013,334,199,85,0,12,1021,201,68.42,7.72,100,15.96,91,4.13,9,3.56,0,0.54,31.58,5.09
7421,25001012602,14000US25001012602,938,2012-16,3395,457,2091,329,2091,329,1920,329,171,114,0,12,1304,399,61.59,5.02,100,15.73,91.82,6.23,8.18,5.3,0,0.57,38.41,10.55
7422,25001012700,14000US25001012700,939,2012-16,3490,367,2183,273,2183,273,2104,267,79,60,0,12,1307,325,62.55,4.23,100,12.51,96.38,2.08,3.62,2.71,0,0.55,37.45,8.44
7423,25001012800,14000US25001012800,940,2012-16,3371,268,2177,277,2177,277,1975,247,202,91,0,12,1194,183,64.58,6.42,100,12.72,90.72,16.19,9.28,4.01,0,0.55,35.42,4.64
7424,25001012900,14000US25001012900,941,2012-16,3256,215,2259,195,2259,195,2091,188,168,66,0,12,997,137,69.38,3.86,100,8.63,92.56,2.33,7.44,2.85,0,0.53,30.62,3.69
7425,25001013002,14000US25001013002,942,2012-16,2699,275,1240,214,1240,214,1131,202,109,68,0,12,1459,189,45.94,6.4,100,17.26,91.21,4.19,8.79,5.27,0,0.97,54.06,4.32
7426,25001013100,14000US25001013100,943,2012-16,4408,384,3078,376,3078,376,2964,373,114,77,0,17,1330,242,69.83,5.98,100,12.22,96.3,2.91,3.7,2.46,0,0.55,30.17,4.82
7427,25001013200,14000US25001013200,944,2012-16,4231,356,2272,255,2272,255,2113,253,159,84,0,12,1959,284,53.7,3.99,100,11.22,93,3.88,7,3.61,0,0.53,46.3,5.47
7428,25001013300,14000US25001013300,945,2012-16,2982,253,1892,186,1883,186,1732,178,151,56,9,14,1090,176,63.45,3.15,99.52,0.96,91.98,2.61,8.02,2.87,0.48,0.74,36.55,5.02
7429,25001013400,14000US25001013400,946,2012-16,3128,261,1919,232,1913,233,1777,226,136,59,6,10,1209,205,61.35,5.37,99.69,1.47,92.89,3.4,7.11,2.96,0.31,0.52,38.65,5.71
7430,25001013500,14000US25001013500,947,2012-16,5493,396,3885,305,3860,303,3573,311,287,134,25,31,1608,249,70.73,2.2,99.36,11.03,92.56,3.48,7.44,3.42,0.64,0.8,29.27,4.01
7431,25001013600,14000US25001013600,948,2012-16,5070,352,3747,385,3718,378,3592,375,126,86,29,34,1323,257,73.91,5.6,99.23,14.34,96.61,2.29,3.39,2.29,0.77,0.9,26.09,4.73
7432,25001013700,14000US25001013700,949,2012-16,3721,293,2454,263,2414,254,2265,252,149,57,40,53,1267,209,65.95,4.79,98.37,14.77,93.83,3.39,6.17,2.27,1.63,2.15,34.05,4.94
7433,25001013800,14000US25001013800,950,2012-16,4151,294,2815,263,2815,263,2621,286,194,102,0,12,1336,193,67.81,4.13,100,9.34,93.11,5.25,6.89,3.57,0,0.43,32.19,4.05
7434,25001013900,14000US25001013900,951,2012-16,4795,413,2858,331,2858,331,2789,318,69,58,0,17,1937,321,59.6,4.61,100,11.58,97.59,15.86,2.41,2.01,0,0.59,40.4,5.72
7435,25001014002,14000US25001014002,952,2012-16,3649,356,2210,295,2202,295,2142,289,60,48,8,13,1439,262,60.56,5.52,99.64,1.13,97.28,1.56,2.72,2.15,0.36,0.59,39.44,6.06
7436,25001014100,14000US25001014100,953,2012-16,498,119,312,74,178,56,178,56,0,12,134,50,186,78,62.65,21.09,57.05,11.79,100,31.46,0,6.74,42.95,12.37,37.35,12.87
7437,25001014300,14000US25001014300,954,2012-16,3619,470,2036,393,2036,393,1924,385,112,64,0,12,1583,350,56.26,8.03,100,19.3,94.5,4.98,5.5,2.96,0,0.59,43.74,7.83
7438,25001014402,14000US25001014402,955,2012-16,5614,459,3910,437,3888,441,3701,453,187,94,22,36,1704,286,69.65,5.31,99.44,1.92,95.19,4.38,4.81,2.36,0.56,0.92,30.35,4.45
7439,25001014500,14000US25001014500,956,2012-16,4554,407,2937,373,2937,373,2682,348,255,162,0,17,1617,299,64.49,5.82,100,12.7,91.32,2.43,8.68,5.4,0,0.58,35.51,5.75
7440,25001014600,14000US25001014600,957,2012-16,3541,294,2141,249,2113,257,1920,239,193,102,28,28,1400,172,60.46,4.92,98.69,3.51,90.87,2.41,9.13,4.7,1.31,1.3,39.54,3.58
7441,25001014700,14000US25001014700,958,2012-16,3098,289,1881,242,1881,242,1780,242,101,45,0,12,1217,141,60.72,5.38,100,12.87,94.63,4.16,5.37,2.29,0,0.64,39.28,2.7
7442,25001014800,14000US25001014800,959,2012-16,3179,316,1435,213,1427,214,1363,218,64,39,8,13,1744,236,45.14,4.98,99.44,2.13,95.52,5.31,4.48,2.65,0.56,0.9,54.86,5.04
7443,25001014900,14000US25001014900,960,2012-16,3258,332,1691,235,1654,234,1559,232,95,54,37,49,1567,186,51.9,4.9,97.81,2.59,94.26,4.35,5.74,3.16,2.19,2.88,48.1,2.93
7444,25001015001,14000US25001015001,961,2012-16,3752,237,2483,236,2453,236,2317,229,136,88,30,35,1269,191,66.18,4.7,98.79,1.47,94.46,2.14,5.54,3.55,1.21,1.4,33.82,4.62
7445,25001015002,14000US25001015002,962,2012-16,3328,202,1584,204,1561,205,1419,202,142,71,23,26,1744,212,47.6,5.41,98.55,2.53,90.9,4.99,9.1,4.39,1.45,1.63,52.4,5.52
7446,25001015100,14000US25001015100,963,2012-16,3119,234,1947,258,1924,249,1815,236,109,74,23,27,1172,179,62.42,6.82,98.82,18.3,94.33,1.19,5.67,3.78,1.18,1.38,37.58,5
7447,25001015200,14000US25001015200,964,2012-16,2027,254,1054,208,1054,208,1009,197,45,45,0,12,973,179,52,7.93,100,19.73,95.73,26.58,4.27,4.19,0,1.14,48,6.47
7448,25001015300,14000US25001015300,965,2012-16,2706,269,1760,219,1760,219,1620,218,140,76,0,12,946,182,65.04,4.87,100,12.44,92.05,4.72,7.95,4.2,0,0.68,34.96,5.76
7449,25001990000,14000US25001990000,966,2012-16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,
7450,25003900100,14000US25003900100,967,2012-16,2755,277,1445,253,1445,253,1114,205,331,128,0,12,1310,189,52.45,7.52,100,17.51,77.09,4.37,22.91,7.9,0,0.83,47.55,4.92
7451,25003900200,14000US25003900200,968,2012-16,3422,244,2298,269,2290,269,2049,280,241,110,8,12,1124,238,67.15,6.23,99.65,0.98,89.48,6.25,10.52,4.64,0.35,0.52,32.85,6.55
7452,25003900300,14000US25003900300,969,2012-16,2293,191,1561,173,1561,173,1427,180,134,73,0,12,732,150,68.08,4.98,100,11.08,91.42,5.51,8.58,4.58,0,0.77,31.92,5.98
7453,25003900400,14000US25003900400,970,2012-16,3973,276,2803,323,2803,323,2535,328,268,135,0,17,1170,170,70.55,6.49,100,11.52,90.44,5.32,9.56,4.69,0,0.61,29.45,3.76
7454,25003900500,14000US25003900500,971,2012-16,2949,202,1814,149,1814,149,1717,164,97,55,0,12,1135,181,61.51,2.79,100,8.21,94.65,4.61,5.35,3,0,0.66,38.49,5.54
7455,25003900600,14000US25003900600,972,2012-16,2954,314,1845,264,1845,264,1456,223,389,181,0,12,1109,193,62.46,5.98,100,14.31,78.92,4.31,21.08,9.33,0,0.65,37.54,5.17
7456,25003900700,14000US25003900700,973,2012-16,2370,263,1416,155,1416,155,1326,153,90,46,0,12,954,204,59.75,9.31,100,10.95,93.64,3.42,6.36,3.17,0,0.85,40.25,7.36
7457,25003900800,14000US25003900800,974,2012-16,4089,302,2718,333,2718,333,2549,313,169,82,0,12,1371,179,66.47,6.5,100,12.25,93.78,0.77,6.22,2.92,0,0.44,33.53,3.61
7458,25003900900,14000US25003900900,975,2012-16,4126,477,3219,419,3219,419,2839,403,380,238,0,17,907,223,78.02,4.67,100,13.02,88.2,4.99,11.8,7.23,0,0.53,21.98,4.77
7459,25003901100,14000US25003901100,976,2012-16,3098,170,1824,150,1824,150,1764,149,60,42,0,12,1274,168,58.88,3.61,100,8.22,96.71,1.86,3.29,2.29,0,0.66,41.12,4.93
7460,25003911100,14000US25003911100,977,2012-16,2388,121,1764,128,1764,128,1605,127,159,100,0,12,624,116,73.87,3.84,100,7.26,90.99,2.87,9.01,5.63,0,0.68,26.13,4.67
7461,25003912100,14000US25003912100,978,2012-16,5680,157,3746,282,3746,282,3486,283,260,129,0,17,1934,259,65.95,4.62,100,7.53,93.06,2.83,6.94,3.4,0,0.45,34.05,4.46
7462,25003913100,14000US25003913100,979,2012-16,4304,163,2157,220,2157,220,2034,224,123,93,0,17,2147,256,50.12,4.75,100,10.2,94.3,3.92,5.7,4.27,0,0.79,49.88,5.64
7463,25003914100,14000US25003914100,980,2012-16,4901,152,3156,271,3156,271,3004,284,152,85,0,17,1745,314,64.4,5.16,100,8.59,95.18,3.76,4.82,2.66,0,0.54,35.6,6.31
7464,25003920101,14000US25003920101,981,2012-16,3680,163,2188,157,2188,157,2051,171,137,68,0,12,1492,164,59.46,3.36,100,7.18,93.74,3.98,6.26,3.08,0,0.55,40.54,4.08
7465,25003920102,14000US25003920102,982,2012-16,2963,166,1620,165,1620,165,1514,150,106,59,0,12,1343,149,54.67,4.65,100,10.19,93.46,13.28,6.54,3.58,0,0.74,45.33,4.34
7466,25003921300,14000US25003921300,983,2012-16,4188,338,2391,367,2381,364,2226,330,155,103,10,18,1797,298,57.09,7.45,99.58,21.57,93.49,19.91,6.51,4.21,0.42,0.75,42.91,6.22
7467,25003921400,14000US25003921400,984,2012-16,1468,179,747,127,747,127,638,120,109,57,0,12,721,132,50.89,6.03,100,17,85.41,6.87,14.59,7.22,0,1.61,49.11,6.71
7468,25003921500,14000US25003921500,985,2012-16,2567,202,1461,220,1461,220,1326,199,135,67,0,12,1106,224,56.91,7.31,100,15.06,90.76,19.3,9.24,4.37,0,0.82,43.09,8.04
7469,25003922100,14000US25003922100,986,2012-16,1996,163,1283,160,1283,160,1221,166,62,63,0,12,713,102,64.28,6.06,100,12.47,95.17,5.15,4.83,4.87,0,0.94,35.72,4.2
7470,25003922200,14000US25003922200,987,2012-16,3231,235,2077,285,2077,285,1860,222,217,123,0,12,1154,176,64.28,7.48,100,13.72,89.55,16.29,10.45,5.75,0,0.58,35.72,4.79
7471,25003922300,14000US25003922300,988,2012-16,1755,121,1175,119,1175,119,1092,110,83,40,0,12,580,73,66.95,4.97,100,10.13,92.94,13.28,7.06,3.33,0,1.02,33.05,3.48
7472,25003923100,14000US25003923100,989,2012-16,2745,123,1751,204,1751,204,1594,208,157,73,0,12,994,169,63.79,6.86,100,11.65,91.03,5.35,8.97,4.04,0,0.69,36.21,5.94
7473,25003924100,14000US25003924100,990,2012-16,1833,225,1157,207,1157,207,1102,199,55,31,0,12,676,116,63.12,8.22,100,17.89,95.25,2.33,4.75,2.54,0,1.04,36.88,4.42
7474,25003925100,14000US25003925100,991,2012-16,5937,208,3836,245,3836,245,3532,248,304,120,0,17,2101,274,64.61,3.45,100,6.39,92.08,2.69,7.92,3.09,0,0.44,35.39,4.45
7475,25003926100,14000US25003926100,992,2012-16,2792,105,1822,182,1822,182,1727,205,95,69,0,12,970,174,65.26,6.04,100,9.99,94.79,6.08,5.21,3.75,0,0.66,34.74,6.09
7476,25003931100,14000US25003931100,993,2012-16,1363,83,888,77,888,77,827,75,61,30,0,12,475,46,65.15,4.02,100,8.67,93.13,2.47,6.87,3.33,0,1.35,34.85,2.62
7477,25003931300,14000US25003931300,994,2012-16,1296,84,861,81,861,81,779,75,82,33,0,12,435,63,66.44,4.53,100,9.41,90.48,1.85,9.52,3.73,0,1.39,33.56,4.35
7478,25003931400,14000US25003931400,995,2012-16,1499,100,1034,87,1033,88,960,74,73,27,1,4,465,52,68.98,3.54,99.9,1.33,92.93,10.68,7.07,2.54,0.1,0.39,31.02,2.78
7479,25003932200,14000US25003932200,996,2012-16,1960,134,1371,123,1371,123,1280,121,91,30,0,12,589,67,69.95,4.06,100,8.97,93.36,2.78,6.64,2.11,0,0.88,30.05,2.73
7480,25003932300,14000US25003932300,997,2012-16,1597,138,1113,130,1113,130,1049,123,64,36,0,12,484,106,69.69,5.48,100,11.68,94.25,0.97,5.75,3.16,0,1.08,30.31,6.1
7481,25003933200,14000US25003933200,998,2012-16,1108,115,615,93,615,93,578,75,37,39,0,12,493,103,55.51,6.1,100,15.12,93.98,18.73,6.02,6.28,0,1.95,44.49,8.07
7482,25003933300,14000US25003933300,999,2012-16,1258,92,793,82,793,82,750,85,43,19,0,12,465,84,63.04,4.61,100,10.34,94.58,4.39,5.42,2.33,0,1.51,36.96,6.11
7483,25003933400,14000US25003933400,1000,2012-16,2106,161,1373,141,1373,141,1280,143,93,44,0,12,733,98,65.19,4.47,100,10.27,93.23,4.1,6.77,3.13,0,0.87,34.81,3.82
7484,25003934200,14000US25003934200,1001,2012-16,1051,118,694,103,694,103,685,102,9,7,0,12,357,80,66.03,6.41,100,14.84,98.7,1.19,1.3,0.99,0,1.73,33.97,6.59
7485,25003934300,14000US25003934300,1002,2012-16,1599,139,1018,130,1018,130,977,125,41,35,0,12,581,71,63.66,5.96,100,12.77,95.97,0.75,4.03,3.4,0,1.18,36.34,3.12
7486,25003935100,14000US25003935100,1003,2012-16,2155,151,1354,121,1354,121,1275,113,79,26,0,12,801,75,62.83,3.48,100,8.94,94.17,11.85,5.83,1.85,0,0.89,37.17,2.31
7487,25003935200,14000US25003935200,1004,2012-16,3996,281,2754,283,2754,283,2565,278,189,90,0,17,1242,198,68.92,5.16,100,10.28,93.14,3.21,6.86,3.19,0,0.62,31.08,4.45
7488,25003935300,14000US25003935300,1005,2012-16,3255,294,1842,236,1842,236,1529,219,313,128,0,12,1413,226,56.59,5.14,100,12.81,83.01,5.32,16.99,6.6,0,0.65,43.41,5.73
7489,25005600100,14000US25005600100,1006,2012-16,3180,178,2053,148,2053,148,1951,150,102,56,0,12,1127,191,64.56,2.93,100,7.21,95.03,2.54,4.97,2.7,0,0.58,35.44,5.67
7490,25005600202,14000US25005600202,1007,2012-16,4003,231,2993,243,2993,243,2652,217,341,134,0,12,1010,122,74.77,4.27,100,8.12,88.61,0.9,11.39,4.38,0,0.4,25.23,2.68
7491,25005600203,14000US25005600203,1008,2012-16,4428,230,3185,203,3185,203,3094,199,91,47,0,17,1243,160,71.93,2.66,100,6.37,97.14,0.84,2.86,1.46,0,0.53,28.07,3.31
7492,25005600204,14000US25005600204,1009,2012-16,3046,199,2419,203,2419,203,2294,202,125,53,0,12,627,146,79.42,4.18,100,8.39,94.83,2.53,5.17,2.15,0,0.5,20.58,4.6
7493,25005610100,14000US25005610100,1010,2012-16,4503,314,3737,290,3737,290,3412,336,325,157,0,17,766,165,82.99,2.83,100,7.76,91.3,5.54,8.7,4.15,0,0.45,17.01,3.47
7494,25005610202,14000US25005610202,1011,2012-16,4248,235,3244,200,3244,200,3064,196,180,77,0,17,1004,130,76.37,2.08,100,6.17,94.45,1.61,5.55,2.35,0,0.52,23.63,2.77
7495,25005610203,14000US25005610203,1012,2012-16,5325,251,3904,238,3904,238,3631,253,273,126,0,17,1421,252,73.31,2.83,100,6.1,93.01,3.14,6.99,3.2,0,0.44,26.69,4.56
7496,25005610204,14000US25005610204,1013,2012-16,4336,231,3248,228,3248,228,2958,258,290,146,0,17,1088,211,74.91,3.42,100,7.02,91.07,4.71,8.93,4.45,0,0.52,25.09,4.68
7497,25005611101,14000US25005611101,1014,2012-16,3605,233,2669,215,2669,215,2484,231,185,72,0,12,936,190,74.04,3.56,100,8.06,93.07,4.32,6.93,2.64,0,0.45,25.96,5
7498,25005611102,14000US25005611102,1015,2012-16,4719,316,2941,255,2941,255,2781,240,160,84,0,17,1778,268,62.32,3.43,100,8.67,94.56,11.57,5.44,2.82,0,0.58,37.68,5.09
7499,25005611201,14000US25005611201,1016,2012-16,2190,207,1724,189,1724,189,1669,183,55,33,0,12,466,99,78.72,4.37,100,10.96,96.81,0.19,3.19,1.88,0,0.7,21.28,4.05
7500,25005611202,14000US25005611202,1017,2012-16,5479,324,4057,340,4057,340,3876,335,181,108,0,17,1422,228,74.05,4.4,100,8.38,95.54,2.02,4.46,2.64,0,0.42,25.95,3.87
7501,25005612100,14000US25005612100,1018,2012-16,3731,217,2611,235,2599,235,2484,241,115,68,12,17,1120,200,69.98,4.81,99.54,0.86,95.58,3.36,4.42,2.59,0.46,0.65,30.02,5.07
7502,25005612200,14000US25005612200,1019,2012-16,7240,263,5136,324,5114,317,4680,344,434,160,22,33,2104,304,70.94,3.66,99.57,8.81,91.51,3.62,8.49,3.08,0.43,0.64,29.06,4.06
7503,25005613100,14000US25005613100,1020,2012-16,5689,328,3945,344,3930,342,3685,359,245,112,15,24,1744,311,69.34,4.54,99.62,12.27,93.77,4.11,6.23,2.8,0.38,0.61,30.66,5.17
7504,25005613300,14000US25005613300,1021,2012-16,5870,304,3880,313,3880,313,3717,315,163,101,0,17,1990,275,66.1,4.09,100,8.07,95.8,2.49,4.2,2.58,0,0.44,33.9,4.34
7505,25005613400,14000US25005613400,1022,2012-16,2743,196,2011,180,2011,180,1857,178,154,77,0,12,732,141,73.31,3.95,100,8.95,92.34,3.17,7.66,3.77,0,0.6,26.69,4.77
7506,25005613600,14000US25005613600,1023,2012-16,3228,312,1904,288,1904,288,1735,287,169,84,0,12,1324,187,58.98,6.86,100,15.13,91.12,6.1,8.88,4.2,0,0.63,41.02,4.22
7507,25005613700,14000US25005613700,1024,2012-16,3540,286,2175,232,2175,232,1931,237,244,99,0,12,1365,231,61.44,4.28,100,10.67,88.78,5.39,11.22,4.39,0,0.55,38.56,5.73
7508,25005613800,14000US25005613800,1025,2012-16,3667,358,2351,379,2351,379,2083,391,268,145,0,12,1316,275,64.11,8.22,100,16.12,88.6,8.52,11.4,5.89,0,0.51,35.89,6.63
7509,25005613901,14000US25005613901,1026,2012-16,2161,225,1354,210,1354,210,1284,211,70,46,0,12,807,156,62.66,7.2,100,15.51,94.83,5.15,5.17,3.3,0,0.89,37.34,6.08
7510,25005613902,14000US25005613902,1027,2012-16,4291,246,3020,219,3020,219,2763,208,257,88,0,17,1271,195,70.38,3.13,100,7.25,91.49,1.85,8.51,2.85,0,0.56,29.62,4.22
7511,25005614000,14000US25005614000,1028,2012-16,3533,284,2038,236,2038,236,1850,232,188,79,0,12,1495,225,57.68,4.81,100,11.58,90.78,4.37,9.22,3.73,0,0.59,42.32,5.38
7512,25005614101,14000US25005614101,1029,2012-16,5563,351,3769,362,3769,362,3461,339,308,133,0,17,1794,236,67.75,4.91,100,9.6,91.83,1.76,8.17,3.44,0,0.45,32.25,3.72
7513,25005614102,14000US25005614102,1030,2012-16,5917,503,4155,353,4155,353,3953,356,202,111,0,17,1762,366,70.22,8.44,100,8.5,95.14,2.84,4.86,2.64,0,0.41,29.78,5.64
7514,25005615100,14000US25005615100,1031,2012-16,5880,141,4152,285,4152,285,3883,274,269,162,0,17,1728,253,70.61,4.54,100,6.86,93.52,1.53,6.48,3.88,0,0.41,29.39,4.24
7515,25005616100,14000US25005616100,1032,2012-16,5240,200,3910,276,3910,276,3695,292,215,109,0,17,1330,336,74.62,4.43,100,7.06,94.5,3.36,5.5,2.76,0,0.43,25.38,6.34
7516,25005617101,14000US25005617101,1033,2012-16,3978,147,2828,236,2828,236,2724,235,104,58,0,17,1150,209,71.09,5.32,100,8.35,96.32,2.11,3.68,2.03,0,0.6,28.91,5.14
7517,25005617102,14000US25005617102,1034,2012-16,3266,193,2399,167,2399,167,2268,172,131,68,0,12,867,137,73.45,2.7,100,6.96,94.54,2.84,5.46,2.81,0,0.5,26.55,3.89
7518,25005630101,14000US25005630101,1035,2012-16,2085,223,1524,200,1524,200,1449,192,75,51,0,12,561,174,73.09,5.56,100,13.12,95.08,1.74,4.92,3.28,0,0.79,26.91,7.83
7519,25005630102,14000US25005630102,1036,2012-16,3606,257,2736,263,2728,263,2399,220,329,139,8,12,870,143,75.87,4.89,99.71,0.73,87.94,11.7,12.06,4.96,0.29,0.44,24.13,3.57
7520,25005630200,14000US25005630200,1037,2012-16,6202,307,4759,338,4754,338,4520,326,234,96,5,8,1443,251,76.73,3.91,99.89,0.33,95.08,1.15,4.92,1.99,0.11,0.17,23.27,3.88
7521,25005630300,14000US25005630300,1038,2012-16,6864,362,5008,399,4990,401,4667,367,323,181,18,30,1856,245,72.96,4.36,99.64,1.05,93.53,10.52,6.47,3.59,0.36,0.6,27.04,3.27
7522,25005630400,14000US25005630400,1039,2012-16,4045,284,2935,269,2935,269,2815,259,120,62,0,12,1110,172,72.56,4.27,100,9.17,95.91,0.77,4.09,2.08,0,0.41,27.44,3.79
7523,25005631100,14000US25005631100,1040,2012-16,6435,371,4505,384,4494,381,4181,393,313,108,11,21,1930,284,70.01,4.4,99.76,11.99,93.04,3.78,6.96,2.33,0.24,0.47,29.99,4.06
7524,25005631200,14000US25005631200,1041,2012-16,5887,344,4229,340,4229,340,3866,329,363,139,0,17,1658,266,71.84,3.97,100,8.04,91.42,2.55,8.58,3.21,0,0.4,28.16,4.21
7525,25005631300,14000US25005631300,1042,2012-16,4105,300,3019,297,3019,297,2865,301,154,103,0,17,1086,194,73.54,4.84,100,9.84,94.9,3.5,5.1,3.37,0,0.56,26.46,4.31
7526,25005631400,14000US25005631400,1043,2012-16,2236,279,1436,231,1436,231,1219,229,217,95,0,12,800,255,64.22,6.52,100,16.09,84.89,8.24,15.11,6.15,0,0.84,35.78,10.49
7527,25005631500,14000US25005631500,1044,2012-16,2306,272,1719,255,1719,255,1500,208,219,154,0,12,587,139,74.54,6.71,100,14.83,87.26,17.72,12.74,8.76,0,0.7,25.46,5.23
